firstName,lastName,teamName,source,GP,MIN_avg,PTS_avg,REB_avg,AST_avg,STL_avg,BLK_avg,TO_avg,FG2_pct,FG3_pct,FT_pct,EVAL_avg
Akram,Naji,Chalon/Saône,LNB,20.0,4.95,2.55,0.35,0.3,0.25,0.1,0.65,0.6154,0.25,0.8125,1.95
Jean-Philippe,Dally,Dijon,LNB,22.0,8.83,2.36,1.32,0.09,0.36,0.05,0.18,0.3704,0.25,0.85,2.41
Evan,Boisdur,Gravelines-Dunkerque,LNB,18.0,8.3,2.22,0.56,0.5,0.28,0.06,0.5,0.5625,0.2143,0.6842,1.78
Lucas,Fischer,Nanterre,LNB,30.0,11.06,2.1,1.17,0.6,0.37,0.27,0.77,0.5,0.0909,0.6129,2.03
Boris,Bourichon,La Rochelle,LNB,16.0,10.53,1.69,1.38,1.0,0.38,0.0,0.69,0.5238,0.0,0.625,2.88
Gaetan,Meyniel,Le Portel,LNB,16.0,12.09,1.31,1.25,1.94,0.5,0.19,1.25,0.4211,0.0,0.7143,2.75
CARSEN,EDWARDS,FC Bayern Munich,EuroLeague,35.0,28.82523809523809,20.4,2.3,3.3,1.0,0.1,2.3,0.539,0.35600000000000004,0.91,16.7
KENDRICK,NUNN,Panathinaikos AKTOR Athens,EuroLeague,40.0,30.82708333333333,20.0,3.5,4.2,1.0,0.2,2.8,0.563,0.392,0.862,18.7
SASHA,VEZENKOV,Olympiacos Piraeus,EuroLeague,38.0,30.39342105263158,19.8,6.6,1.8,0.9,0.2,1.1,0.645,0.382,0.8859999999999999,23.7
TJ,SHORTS,Paris Basketball,EuroLeague,37.0,27.32927927927928,19.0,2.6,7.3,1.0,0.1,2.3,0.52,0.361,0.7340000000000001,22.8
NIKOLA,MIROTIC,EA7 Emporio Armani Milan,EuroLeague,30.0,27.487222222222226,17.7,6.4,2.0,1.0,0.3,1.9,0.55,0.389,0.893,22.0
THEO,MALEDON,LDLC ASVEL Villeurbanne,EuroLeague,33.0,27.593434343434343,17.0,3.5,4.6,1.0,0.2,2.9,0.525,0.344,0.904,20.6
NIGEL,HAYES-DAVIS,Fenerbahce Beko Istanbul,EuroLeague,39.0,31.34230769230769,16.7,5.3,1.7,1.1,0.3,1.4,0.498,0.41,0.9079999999999999,18.3
KEVIN,PUNTER,FC Barcelona,EuroLeague,37.0,27.07702702702703,16.6,2.2,3.0,1.3,0.0,1.6,0.539,0.386,0.9440000000000001,16.5
EVAN,FOURNIER,Olympiacos Piraeus,EuroLeague,37.0,25.79144144144144,16.1,2.2,2.6,1.1,0.1,1.8,0.507,0.358,0.735,12.6
ZACH,LEDAY,EA7 Emporio Armani Milan,EuroLeague,34.0,27.644117647058824,16.0,4.5,1.2,0.7,0.1,1.3,0.532,0.462,0.915,19.4
MIKE,JAMES,AS Monaco,EuroLeague,41.0,29.341463414634145,15.9,3.0,5.8,1.1,0.0,1.9,0.44799999999999995,0.33,0.789,17.4
TORNIKE,SHENGELIA,Virtus Bologna,EuroLeague,28.0,27.45595238095238,15.6,5.0,2.7,0.7,0.4,2.5,0.513,0.36200000000000004,0.8240000000000001,17.5
NADIR,HIFI,Paris Basketball,EuroLeague,38.0,19.967543859649123,15.1,2.1,1.3,0.6,0.0,1.5,0.489,0.34299999999999997,0.857,10.6
DEVIN,BOOKER,FC Bayern Munich,EuroLeague,28.0,26.258333333333333,14.9,4.7,1.6,0.7,0.2,1.6,0.5870000000000001,0.405,0.825,16.2
MARIO,HEZONJA,Real Madrid,EuroLeague,38.0,27.06184210526316,14.9,5.3,1.5,0.8,0.1,1.6,0.615,0.315,0.8190000000000001,14.3
JAYLEN,HOARD,Maccabi Rapyd Tel Aviv,EuroLeague,24.0,30.64027777777778,14.7,5.0,1.4,1.3,0.2,0.9,0.616,0.324,0.784,17.5
SYLVAIN,FRANCISCO,Zalgiris Kaunas,EuroLeague,34.0,25.49117647058824,14.6,2.6,4.5,0.9,0.4,2.9,0.479,0.342,0.7559999999999999,15.6
CARLIK,JONES,Partizan Mozzart Bet Belgrade,EuroLeague,34.0,26.96421568627451,14.1,3.2,5.4,1.0,0.1,1.8,0.509,0.319,0.852,17.3
CHIMA,MONEKE,Baskonia Vitoria-Gasteiz,EuroLeague,33.0,28.203535353535354,14.0,6.1,2.3,0.9,0.3,1.9,0.645,0.295,0.813,18.6
ELIJAH,BRYANT,Anadolu Efes Istanbul,EuroLeague,38.0,27.03245614035088,13.8,4.2,3.1,1.2,0.2,2.2,0.49,0.365,0.9,14.4
JABARI,PARKER,FC Barcelona,EuroLeague,39.0,27.21410256410256,13.8,4.0,1.7,0.8,0.2,1.5,0.557,0.38299999999999995,0.794,12.4
WILL,CLYBURN,Virtus Bologna,EuroLeague,24.0,27.43055555555556,13.8,4.7,2.4,1.1,0.2,1.4,0.517,0.341,0.8170000000000001,15.4
