s_games,s_games_started,s_minutes_average,minutes_display,s_points_average,s_two_pointers_made_average,s_two_pointers_attempted_average,s_two_pointers_percentage,s_three_pointers_made_average,s_three_pointers_attempted_average,s_three_pointers_percentage,s_free_throws_made_average,s_free_throws_attempted_average,s_free_throws_percentage,s_rebounds_offensive_average,s_rebounds_defensive_average,s_rebounds_total_average,s_assists_average,s_blocks_average,s_blocks_received,s_steals_average,s_turnovers_average,s_fouls_total_average,s_fouls_on_average,s_plus_minus_points,s_efficiency_average,person.person_id,person.external_id,person.first_name,person.family_name,person.photo.sm,person.photo.md,person.photo.lg,person.photo.or,team.external_id,team.team_name,team.logo_black.sm,team.logo_black.md,team.logo_black.lg,team.logo_black.or,team.logo_white.sm,team.logo_white.md,team.logo_white.lg,team.logo_white.or
25,3,20.26,20' 16'',6.28,0.96,1.52,63.16,1.12,3.0,37.33,1.0,1.32,75.76,0.68,2.48,3.16,0.84,0.24,0.04,0.68,0.36,2.52,1.16,-2.28,8.08,2f118a36-f5c1-11eb-9209-7a548989cd8b,2421,Lucas,Dussoulier,https://assets.altrstat.xyz/images/Basketball/Person/2421/photo/sm.png,https://assets.altrstat.xyz/images/Basketball/Person/2421/photo/md.png,https://assets.altrstat.xyz/images/Basketball/Person/2421/photo/lg.png,https://assets.altrstat.xyz/images/Basketball/Person/2421/photo/or.png,1715,Nanterre,https://assets.altrstat.xyz/images/Basketball/Team/1715/logoBlack/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1715/logoBlack/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1715/logoBlack/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1715/logoBlack/or.png,https://assets.altrstat.xyz/images/Basketball/Team/1715/logoWhite/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1715/logoWhite/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1715/logoWhite/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1715/logoWhite/or.png
30,15,16.72,16' 43'',6.27,2.0,2.97,67.42,0.33,1.07,31.25,1.27,2.17,58.46,0.57,2.17,2.73,1.13,0.2,0.2,0.8,0.67,2.13,2.4,0.0,7.87,cc64e34e-6261-11ed-b4a0-d1c598fb196a,9245,Mohammad,Amini,https://assets.altrstat.xyz/images/Basketball/Person/9245/photo/sm.png,https://assets.altrstat.xyz/images/Basketball/Person/9245/photo/md.png,https://assets.altrstat.xyz/images/Basketball/Person/9245/photo/lg.png,https://assets.altrstat.xyz/images/Basketball/Person/9245/photo/or.png,1714,Nancy,https://assets.altrstat.xyz/images/Basketball/Team/1714/logoBlack/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1714/logoBlack/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1714/logoBlack/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1714/logoBlack/or.png,https://assets.altrstat.xyz/images/Basketball/Team/1714/logoWhite/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1714/logoWhite/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1714/logoWhite/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1714/logoWhite/or.png
30,22,19.84,19' 50'',6.13,1.6,3.07,52.17,0.53,1.5,35.56,1.33,1.8,74.07,1.43,2.7,4.13,0.87,0.1,0.37,0.6,0.97,2.3,1.47,-1.83,7.97,eb50c53b-6937-11ef-8932-7d9a4b6dfb6b,10068,Khalid,Moore,https://assets.altrstat.xyz/images/Basketball/Person/10068/photo/sm.png,https://assets.altrstat.xyz/images/Basketball/Person/10068/photo/md.png,https://assets.altrstat.xyz/images/Basketball/Person/10068/photo/lg.png,https://assets.altrstat.xyz/images/Basketball/Person/10068/photo/or.png,1717,Saint-Quentin,https://assets.altrstat.xyz/images/Basketball/Team/1717/logoBlack/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1717/logoBlack/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1717/logoBlack/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1717/logoBlack/or.png,https://assets.altrstat.xyz/images/Basketball/Team/1717/logoWhite/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1717/logoWhite/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1717/logoWhite/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1717/logoWhite/or.png
29,10,17.35,17' 21'',6.1,1.34,2.41,55.71,0.55,1.97,28.07,1.76,2.31,76.12,0.76,2.21,2.97,0.9,0.07,0.17,0.38,0.66,1.52,2.07,-1.83,6.72,6f999108-1ab4-11ec-9a35-d6591c050b3a,8667,Roman,Domon,https://assets.altrstat.xyz/images/Basketball/Person/8667/photo/sm.png,https://assets.altrstat.xyz/images/Basketball/Person/8667/photo/md.png,https://assets.altrstat.xyz/images/Basketball/Person/8667/photo/lg.png,https://assets.altrstat.xyz/images/Basketball/Person/8667/photo/or.png,1708,Gravelines-Dunkerque,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoBlack/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoBlack/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoBlack/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoBlack/or.png,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoWhite/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoWhite/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoWhite/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoWhite/or.png
30,12,24.61,24' 37'',6.1,1.43,2.63,54.43,0.83,3.03,27.47,0.73,1.07,68.75,1.13,3.67,4.8,1.17,0.33,0.37,0.67,1.27,1.93,1.1,-3.4,8.07,355e1314-f5c1-11eb-a66d-829fa53c4950,2760,Vafessa,Fofana,https://assets.altrstat.xyz/images/Basketball/Person/2760/photo/sm.png,https://assets.altrstat.xyz/images/Basketball/Person/2760/photo/md.png,https://assets.altrstat.xyz/images/Basketball/Person/2760/photo/lg.png,https://assets.altrstat.xyz/images/Basketball/Person/2760/photo/or.png,1708,Gravelines-Dunkerque,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoBlack/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoBlack/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoBlack/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoBlack/or.png,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoWhite/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoWhite/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoWhite/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1708/logoWhite/or.png
30,11,16.09,16' 05'',6.07,1.93,3.5,55.24,0.27,0.93,28.57,1.4,2.37,59.15,0.6,1.47,2.07,0.73,0.17,0.23,0.57,0.73,1.73,1.93,-6.13,5.67,42010c8e-f5c1-11eb-b22b-52d2151fde64,3365,Mamadou,Guisse,https://assets.altrstat.xyz/images/Basketball/Person/3365/photo/sm.png,https://assets.altrstat.xyz/images/Basketball/Person/3365/photo/md.png,https://assets.altrstat.xyz/images/Basketball/Person/3365/photo/lg.png,https://assets.altrstat.xyz/images/Basketball/Person/3365/photo/or.png,1711,Limoges,https://assets.altrstat.xyz/images/Basketball/Team/1711/logoBlack/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1711/logoBlack/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1711/logoBlack/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1711/logoBlack/or.png,https://assets.altrstat.xyz/images/Basketball/Team/1711/logoWhite/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1711/logoWhite/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1711/logoWhite/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1711/logoWhite/or.png
28,6,17.52,17' 31'',5.93,0.89,1.32,67.57,0.82,2.25,36.51,1.68,2.18,77.05,1.04,1.5,2.54,0.82,0.57,0.07,0.39,0.89,1.82,1.79,0.93,7.0,9a0812b0-f5c1-11eb-98e8-26dc0ccd4703,7329,Bandja,Sy,https://assets.altrstat.xyz/images/Basketball/Person/7329/photo/sm.png,https://assets.altrstat.xyz/images/Basketball/Person/7329/photo/md.png,https://assets.altrstat.xyz/images/Basketball/Person/7329/photo/lg.png,https://assets.altrstat.xyz/images/Basketball/Person/7329/photo/or.png,1716,Paris,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoBlack/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoBlack/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoBlack/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoBlack/or.png,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoWhite/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoWhite/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoWhite/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1716/logoWhite/or.png
29,13,17.87,17' 52'',5.93,1.69,2.86,59.04,0.45,1.83,24.53,1.21,1.79,67.31,0.48,1.9,2.38,2.31,0.1,0.28,1.07,1.38,2.1,1.66,2.31,7.28,938d1271-693b-11ef-86f4-cb819521c2bf,10070,Shaquille,Harrison,https://assets.altrstat.xyz/images/Basketball/Person/10070/photo/sm.png,https://assets.altrstat.xyz/images/Basketball/Person/10070/photo/md.png,https://assets.altrstat.xyz/images/Basketball/Person/10070/photo/lg.png,https://assets.altrstat.xyz/images/Basketball/Person/10070/photo/or.png,1712,Lyon-Villeurbanne,https://assets.altrstat.xyz/images/Basketball/Team/1712/logoBlack/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1712/logoBlack/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1712/logoBlack/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1712/logoBlack/or.png,https://assets.altrstat.xyz/images/Basketball/Team/1712/logoWhite/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1712/logoWhite/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1712/logoWhite/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1712/logoWhite/or.png
24,5,16.3,16' 18'',5.79,2.0,3.25,61.54,0.46,1.42,32.35,0.42,0.46,90.91,1.08,2.5,3.58,0.58,1.42,0.0,0.21,0.92,2.29,0.63,3.67,8.42,42d0ff92-766c-11ef-8684-03dec795d86c,10266,Georgios,Papagiannis,https://assets.altrstat.xyz/images/Basketball/Person/10266/photo/sm.png,https://assets.altrstat.xyz/images/Basketball/Person/10266/photo/md.png,https://assets.altrstat.xyz/images/Basketball/Person/10266/photo/lg.png,https://assets.altrstat.xyz/images/Basketball/Person/10266/photo/or.png,1713,Monaco,https://assets.altrstat.xyz/images/Basketball/Team/1713/logoBlack/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1713/logoBlack/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1713/logoBlack/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1713/logoBlack/or.png,https://assets.altrstat.xyz/images/Basketball/Team/1713/logoWhite/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1713/logoWhite/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1713/logoWhite/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1713/logoWhite/or.png
27,3,14.86,14' 52'',5.78,2.33,4.22,55.26,0.0,0.0,,1.11,1.89,58.82,1.37,2.37,3.74,0.78,0.26,0.19,0.26,1.0,2.41,1.78,-7.7,7.15,1fa2db98-03f1-11ec-85c8-bad52cb9a8f0,8383,Mathieu,Boyer,https://assets.altrstat.xyz/images/Basketball/Person/8383/photo/sm.png,https://assets.altrstat.xyz/images/Basketball/Person/8383/photo/md.png,https://assets.altrstat.xyz/images/Basketball/Person/8383/photo/lg.png,https://assets.altrstat.xyz/images/Basketball/Person/8383/photo/or.png,1710,Le Portel,https://assets.altrstat.xyz/images/Basketball/Team/1710/logoBlack/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1710/logoBlack/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1710/logoBlack/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1710/logoBlack/or.png,https://assets.altrstat.xyz/images/Basketball/Team/1710/logoWhite/sm.png,https://assets.altrstat.xyz/images/Basketball/Team/1710/logoWhite/md.png,https://assets.altrstat.xyz/images/Basketball/Team/1710/logoWhite/lg.png,https://assets.altrstat.xyz/images/Basketball/Team/1710/logoWhite/or.png
