playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
34,28.0,11.0,26.198214285714283,11.7,1.9,3.9,48.1%,2.0,5.2,39.3%,1.9,2.2,86.9%,0.4,2.2,2.6,4.5,1.2,1.8,0.0,0.3,0.9,3.9,15.5,007200,"LARKIN, SHANE",32,https://media-cdn.cortextech.io/8ad5b8f2-3bf2-4ae4-9a49-91160d75f3bb.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
35,32.0,10.0,22.633854166666666,11.6,4.3,6.9,63.2%,0.0,0.0,0%,2.9,4.4,66.4%,2.8,3.2,6.0,1.0,1.1,1.7,0.7,0.2,2.5,4.0,16.0,011981,"JONES, TYRIQUE",27,https://media-cdn.cortextech.io/a0a652d8-20c4-47b0-a673-b10abc48fff4.png,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
36,35.0,27.0,26.562380952380952,11.5,3.7,6.1,60.6%,0.9,2.1,44%,1.3,2.0,66.7%,1.5,2.5,4.0,1.7,1.0,1.2,0.3,0.4,3.0,2.5,12.2,011226,"DIALLO, ALPHA",27,https://media-cdn.cortextech.io/62623d1f-4407-49ac-a0a8-5924cc103e8a.png,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
37,32.0,0.0,20.593229166666667,11.5,1.8,3.3,52.8%,1.7,4.5,38.5%,2.8,3.0,94.8%,0.3,1.4,1.7,4.5,0.8,2.3,0.0,0.4,1.6,3.4,13.1,002100,"DE COLO, NANDO",37,https://media-cdn.cortextech.io/28e69311-7f90-4945-b5aa-10b966772678.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
38,28.0,14.0,20.853571428571428,11.2,4.2,7.4,57.3%,0.4,1.0,35.7%,1.7,2.6,65.8%,1.6,2.8,4.4,1.6,0.8,1.5,0.2,1.0,2.6,3.0,11.4,011934,"WETZELL, YANNI",28,https://media-cdn.incrowdsports.com/d30b67da-dc86-45f4-969f-ecb23a50e0ef.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
39,27.0,13.0,24.224691358024693,11.1,3.0,6.3,47.6%,0.9,3.0,30.9%,2.3,2.9,79.7%,0.6,2.0,2.7,3.7,0.9,2.1,0.1,0.3,2.1,3.0,11.0,009863,"BALDWIN IV, WADE",28,https://media-cdn.cortextech.io/4421c271-22aa-431d-abd7-99b29a85aea6.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
40,38.0,38.0,26.346929824561403,11.0,2.2,3.7,58.9%,1.7,5.1,33.2%,1.6,2.1,75.9%,1.1,3.9,4.9,1.3,0.9,1.0,0.2,0.3,2.6,2.3,11.3,012610,"WARD, TYSON",27,https://media-cdn.cortextech.io/c05273c5-2d14-410e-9bd6-f65f78da6d7c.png,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png
41,24.0,2.0,20.038194444444446,11.0,3.7,5.9,62.4%,0.8,2.3,36.4%,1.1,1.5,75%,1.0,3.8,4.8,1.0,0.6,1.7,0.6,0.2,2.0,1.8,11.8,013379,"METU, CHIMEZIE",27,https://media-cdn.incrowdsports.com/987ca277-8334-4862-a166-c8dd1a20ad4b.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
42,36.0,25.0,22.038425925925925,10.9,2.2,3.7,58.2%,1.3,3.5,38.4%,2.5,2.9,88.3%,0.4,2.2,2.6,3.1,0.7,2.0,0.1,0.3,2.4,3.2,11.9,004004,"GUDURIC, MARKO",29,https://media-cdn.cortextech.io/ac49a13d-0aaa-4ce6-9fda-1292739525ca.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
43,37.0,7.0,22.485135135135135,10.4,1.5,3.0,51.4%,2.2,5.0,43.2%,0.8,1.0,83.3%,0.9,2.2,3.1,1.4,0.5,1.2,0.2,0.2,2.3,1.0,8.4,006961,"BIBEROVIC, TARIK",23,https://media-cdn.cortextech.io/f62a393b-7a2e-4ba8-a90f-8f7b1d56570c.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
44,33.0,3.0,20.602020202020203,10.3,1.5,2.7,54.4%,1.6,3.9,41.1%,2.5,2.7,94.4%,0.5,1.8,2.3,3.2,1.1,1.9,0.0,0.3,2.1,2.5,11.6,011224,"NAPIER, SHABAZZ",33,https://media-cdn.incrowdsports.com/94995977-a6a1-4a20-8926-04c11757b6f1.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
45,35.0,34.0,25.374285714285715,10.3,3.0,5.8,52.5%,1.1,3.7,30.5%,0.9,1.2,71.4%,0.6,2.5,3.1,4.6,0.6,2.1,0.0,0.4,2.3,1.8,10.0,009048,"MILLER-MCINTYRE, CODI",30,https://media-cdn.cortextech.io/be4091ef-8325-4cc1-b7f9-d8e71b0f732d.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
46,36.0,17.0,23.862962962962964,10.2,0.6,1.4,41.2%,2.8,6.7,42.5%,0.6,0.8,74.1%,0.4,1.5,1.9,1.5,0.5,1.2,0.0,0.2,2.1,1.3,7.0,004508,"OBST, ANDREAS",28,https://media-cdn.cortextech.io/d3d714e5-0b66-497b-afbd-2587ac9e856c.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
47,40.0,37.0,23.263333333333332,10.2,4.2,5.7,73.8%,0.0,0.0,0%,1.8,2.4,72.2%,2.4,4.1,6.6,1.2,0.7,2.0,1.2,0.2,3.0,2.8,15.3,005791,"TAVARES, WALTER",32,https://media-cdn.cortextech.io/90f9344a-3a6f-406e-bd33-8218abd2e8f6.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png
48,29.0,1.0,17.17183908045977,10.0,2.5,4.4,57.5%,1.3,4.0,33.3%,1.0,1.2,77.8%,0.4,1.1,1.5,2.1,0.4,1.3,0.0,0.5,1.1,1.6,8.0,007032,"LO, MAODO",32,https://media-cdn.cortextech.io/4f56a0f9-4aaa-4477-aebc-68205cdbb245.png,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png
49,36.0,0.0,18.345833333333335,10.0,1.8,3.4,53.3%,1.8,3.9,46%,1.1,1.4,79.6%,0.3,1.1,1.4,2.2,0.4,1.3,0.1,0.3,2.0,1.9,8.4,009992,"BRIZUELA, DARIO",30,https://media-cdn.cortextech.io/eaddc1f6-0aec-49e2-8c65-e0a3b8b2cfe3.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
50,35.0,8.0,21.01904761904762,10.0,1.3,2.7,46.8%,2.0,5.2,38.3%,1.5,1.7,86.4%,0.3,1.1,1.5,1.3,0.6,0.9,0.0,0.2,1.9,1.2,6.7,010612,"CANAAN, ISAIAH",33,https://media-cdn.cortextech.io/b6e0f4a8-c734-42b7-86d4-333594b9020b.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
51,26.0,19.0,24.941025641025643,10.0,2.3,5.2,43.4%,1.3,3.9,33.7%,1.5,1.8,84.8%,1.1,2.1,3.2,2.0,0.8,2.0,0.2,0.5,2.4,2.0,7.3,012080,"LUWAWU-CABARROT, TIMOTHE",29,https://media-cdn.cortextech.io/96750db7-50f9-49bb-9fcc-56ed731ccce3.png,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
52,40.0,27.0,27.32125,10.0,2.2,3.8,56.9%,1.5,3.6,43%,1.0,1.6,63.1%,1.6,5.4,7.0,1.4,0.9,0.6,0.3,0.3,1.2,2.0,15.3,012712,"HERNANGOMEZ, JUANCHO",29,https://media-cdn.cortextech.io/12459ba1-e2c3-4832-95de-3fbe43770024.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
53,33.0,17.0,18.717676767676767,9.9,2.8,5.4,51.4%,1.0,2.0,49.2%,1.4,2.4,59.5%,0.9,2.7,3.6,1.5,0.9,1.4,0.4,0.3,2.5,3.2,10.8,007870,"DAVIES, BRANDON",33,https://media-cdn.incrowdsports.com/81408ad9-aed4-4316-8d83-7f2f4eada6cf.png,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
54,32.0,11.0,19.897395833333334,9.8,3.5,6.4,54.9%,0.5,1.9,26.7%,1.3,2.0,66.7%,2.1,4.4,6.5,2.4,0.6,2.4,0.5,0.3,2.8,1.7,10.9,012604,"WILLIAMS, TREVION",24,https://media-cdn.cortextech.io/d7e5006a-fc34-42fb-a7c3-44db1e52fd05.png,BER;TEL,BER;MTA,ALBA Berlin;Maccabi Rapyd Tel Aviv,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png;https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
55,26.0,17.0,20.512179487179488,9.7,2.8,4.5,61.9%,0.8,3.7,21.9%,1.7,2.2,78.6%,0.6,1.7,2.2,0.8,0.7,1.2,0.3,0.1,1.8,2.0,7.7,008384,"PROCIDA, GABRIELE",22,https://media-cdn.cortextech.io/747e84d4-a75e-4ef1-9775-3ea717b3d7f2.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
56,33.0,2.0,18.716666666666665,9.7,1.5,2.8,52.7%,1.9,4.5,43.5%,0.9,1.1,81.1%,1.2,2.7,3.9,1.0,0.5,0.5,0.1,0.3,1.5,0.9,9.6,011085,"ROGKAVOPOULOS, NIKOLAOS",23,https://media-cdn.cortextech.io/bed3d164-4b15-4bcf-a8b3-4a10ab5b3872.png,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
57,34.0,28.0,24.780882352941177,9.7,3.2,6.1,52.2%,0.6,1.7,32.8%,1.6,1.9,81.8%,0.4,2.4,2.8,4.7,0.8,1.9,0.2,0.5,1.9,2.2,11.6,013367,"FORREST, TRENT",26,https://media-cdn.cortextech.io/a329afc2-80e5-4cee-a08d-34c5d734cb3e.png,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
58,39.0,22.0,19.822649572649574,9.6,1.6,3.0,55.2%,1.3,3.5,37.7%,2.3,2.9,79.1%,0.5,2.2,2.7,0.7,0.5,0.6,0.2,0.4,2.1,2.2,8.5,004088,"OSMAN, CEDI",29,https://media-cdn.cortextech.io/dd9f197a-73d3-4d91-a3d5-63b9d7fe0bcc.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
59,27.0,14.0,20.73827160493827,9.6,3.2,7.1,44.8%,0.4,1.7,26.1%,1.9,2.4,79.7%,0.5,1.5,2.0,3.8,0.5,2.1,0.0,0.4,1.5,2.7,8.9,008173,"SPAGNOLO, MATTEO",21,https://media-cdn.cortextech.io/560b3be0-7457-4a49-8a49-d45cb6e16996.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
